,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
164,Titus,(1999),R,162 min,"Drama, History, Thriller",7.1,57        ,"Titus returns victorious from war, only to plant the seeds of future turmoil for himself and his family.",['Julie Taymor'],"['Anthony Hopkins', 'Jessica Lange', 'Osheen Jones', ""Dario D'Ambrosi""]","21,055",$1.92M
165,Mandela: Long Walk to Freedom,(2013),PG-13,141 min,"Biography, Drama, History",7.1,60        ,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,['Justin Chadwick'],"['Idris Elba', 'Naomie Harris', 'Terry Pheto', 'Robert Hobbs']","28,545",$8.32M
166,Into the White,(I) (2012),R,104 min,"Action, Biography, Drama",7.1,-,"Norway, WWII: A group of British and German soldiers find themselves stranded in the wilderness after an aircraft battle. Finding shelter in the same cabin, they realize the only way to survive the winter is to place the rules of war aside.",['Petter Næss'],"['Florian Lukas', 'David Kross', 'Lachlan Nieboer', 'Stig Henrik Hoff']","21,879",-
167,9th Company,(2005),R,139 min,"Action, Drama, History",7.1,-,"A group of Russian army recruits complete training and take their posting in late-1980s Afghanistan, where the insurgents are slowly gaining the upper hand.",['Fedor Bondarchuk'],"['Artur Smolyaninov', 'Aleksey Chadov', 'Konstantin Kryukov', 'Ivan Kokorin']","21,248",-
168,The Northman,(2022),R,137 min,"Action, Adventure, Drama",7.0,82        ,A young Viking prince is on a quest to avenge his father's murder.,['Robert Eggers'],"['Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Ethan Hawke']","228,734",$34.23M
169,Greyhound,(2020),PG-13,91 min,"Action, Drama, History",7.0,64        ,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",['Aaron Schneider'],"['Tom Hanks', 'Elisabeth Shue', 'Stephen Graham', 'Matt Helm']","103,537",-
170,Charlie Wilson's War,(2007),R,102 min,"Biography, Comedy, Drama",7.0,67        ,"A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.",['Mike Nichols'],"['Tom Hanks', 'Julia Roberts', 'Philip Seymour Hoffman', 'Amy Adams']","121,859",$66.66M
171,Cleopatra,(1963),G,192 min,"Biography, Drama, History",7.0,60        ,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,['Joseph L. Mankiewicz'],"['Elizabeth Taylor', 'Richard Burton', 'Rex Harrison', 'Pamela Brown']","35,576",$57.78M
172,Public Enemies,(2009),R,140 min,"Action, Biography, Crime",7.0,70        ,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.",['Michael Mann'],"['Christian Bale', 'Johnny Depp', 'Christian Stolte', 'Jason Clarke']","309,947",$97.10M
173,Cool Runnings,(1993),PG,98 min,"Adventure, Comedy, Family",7.0,60        ,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",['Jon Turteltaub'],"['John Candy', 'Leon', 'Doug E. Doug', 'Rawle D. Lewis']","108,579",$68.86M
174,Ip Man 4: The Finale,(2019),Not Rated,107 min,"Action, Biography, Drama",7.0,62        ,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,['Wilson Yip'],"['Donnie Yen', 'Scott Adkins', 'Danny Kwok-Kwan Chan', 'Vanness Wu']","34,546",$3.96M
175,Foxcatcher,(2014),R,134 min,"Biography, Drama, History",7.0,81        ,"U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all.",['Bennett Miller'],"['Steve Carell', 'Channing Tatum', 'Mark Ruffalo', 'Vanessa Redgrave']","145,466",$12.10M
176,Colonia,(2015),R,110 min,"Biography, Drama, History",7.0,33        ,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.",['Florian Gallenberger'],"['Emma Watson', 'Daniel Brühl', 'Michael Nyqvist', 'Richenda Carey']","55,580",-
177,Professor Marston & the Wonder Women,(2017),R,108 min,"Biography, Drama, History",7.0,68        ,"The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman.",['Angela Robinson'],"['Luke Evans', 'Rebecca Hall', 'Bella Heathcote', 'Connie Britton']","27,400",$1.59M
