,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
169,Searching for Bobby Fischer,(1993),PG,109 min,"Biography, Drama, Sport",7.4,89        ,A prepubescent chess prodigy is encouraged to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,['Steven Zaillian'],"['Joe Mantegna', 'Ben Kingsley', 'Max Pomeranc', 'Joan Allen']","41,226",$7.27M
170,Love & Mercy,(2014),PG-13,121 min,"Biography, Drama, Music",7.4,80        ,"In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene Landy.",['Bill Pohlad'],"['John Cusack', 'Paul Dano', 'Elizabeth Banks', 'Paul Giamatti']","41,019",$12.55M
171,Rabbit-Proof Fence,(2002),PG,94 min,"Biography, Drama",7.4,80        ,"In 1931, three half-white, half-Aboriginal girls escape after being plucked from their houses to be trained as domestic staff, and set off on a journey across the Outback.",['Phillip Noyce'],"['Everlyn Sampi', 'Tianna Sansbury', 'Kenneth Branagh', 'Laura Monaghan']","29,569",$6.17M
172,Trumbo,(2015),R,124 min,"Biography, Drama",7.4,60        ,"In 1947, Dalton Trumbo was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs.",['Jay Roach'],"['Bryan Cranston', 'Diane Lane', 'Helen Mirren', 'Louis C.K.']","83,136",$7.86M
173,The King and I,(1956),G,133 min,"Biography, Drama, Musical",7.4,72        ,A widow accepts a job as a live-in governess to the King of Siam's children.,['Walter Lang'],"['Yul Brynner', 'Deborah Kerr', 'Rita Moreno', 'Martin Benson']","27,124",$21.30M
174,Immortal Beloved,(1994),R,121 min,"Biography, Drama, Music",7.4,-,"The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ...                See full summary »",['Bernard Rose'],"['Gary Oldman', 'Jeroen Krabbé', 'Isabella Rossellini', 'Johanna ter Steege']","25,514",$9.91M
175,American Splendor,(2003),R,101 min,"Biography, Comedy, Drama",7.4,90        ,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,"['Shari Springer Berman', 'Robert Pulcini']","['Paul Giamatti', 'Shari Springer Berman', 'Harvey Pekar', 'Chris Ambrose']","50,943",$6.00M
176,Amazing Grace,(2006),PG,118 min,"Biography, Drama, History",7.4,65        ,"The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",['Michael Apted'],"['Ioan Gruffudd', 'Albert Finney', 'Michael Gambon', 'Romola Garai']","25,267",$21.21M
177,The Good Lie,(2014),PG-13,110 min,"Biography, Drama",7.4,65        ,"A group of Sudanese refugees, given the chance to resettle in the U.S., arrive in Kansas City, Missouri, where their encounter with an employment agency counselor forever changes all of their lives.",['Philippe Falardeau'],"['Reese Witherspoon', 'Arnold Oceng', 'Ger Duany', 'Emmanuel Jal']","29,275",$2.72M
178,Mesrine: Public Enemy No. 1,(2008),R,133 min,"Action, Biography, Crime",7.4,72        ,"The story of the notorious French gangster Jacques Mesrine, with the focus on his life and death as France's Public Enemy No. 1 in the 1970s.",['Jean-François Richet'],"['Vincent Cassel', 'Ludivine Sagnier', 'Mathieu Amalric', 'Samuel Le Bihan']","30,564",$0.28M
179,What's Love Got to Do with It,(1993),R,118 min,"Biography, Drama, Music",7.3,76        ,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",['Brian Gibson'],"['Angela Bassett', 'Laurence Fishburne', 'RaéVen Kelly', 'Virginia Capers']","23,249",$39.10M
180,Elvis,(2022),PG-13,159 min,"Biography, Drama, Music",7.3,64        ,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",['Baz Luhrmann'],"['Tom Hanks', 'Austin Butler', 'Olivia DeJonge', 'Helen Thomson']","209,019",$151.04M
181,Coach Carter,(2005),PG-13,136 min,"Biography, Drama, Sport",7.3,57        ,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,['Thomas Carter'],"['Samuel L. Jackson', 'Rick Gonzalez', ""Robert Ri'chard"", 'Rob Brown']","160,954",$67.26M
182,American Sniper,(2014),R,133 min,"Action, Biography, Drama",7.3,72        ,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",['Clint Eastwood'],"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner', 'Cole Konis']","503,834",$350.13M
183,The King,(I) (2019),R,140 min,"Biography, Drama, History",7.3,62        ,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",['David Michôd'],"['Tom Glynn-Carney', 'Gábor Czap', 'Tom Fisher', 'Edward Ashley']","138,874",-
184,Beautiful Boy,(I) (2018),R,120 min,"Biography, Drama",7.3,62        ,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",['Felix van Groeningen'],"['Steve Carell', 'Maura Tierney', 'Jack Dylan Grazer', 'Oakley Bull']","86,911",$7.65M
185,"Girl, Interrupted",(1999),R,127 min,"Biography, Drama",7.3,51        ,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.,['James Mangold'],"['Winona Ryder', 'Angelina Jolie', 'Clea DuVall', 'Brittany Murphy']","197,913",$28.87M
186,Rocketman,(I) (2019),R,121 min,"Biography, Drama, Music",7.3,69        ,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,['Dexter Fletcher'],"['Taron Egerton', 'Jamie Bell', 'Richard Madden', 'Bryce Dallas Howard']","182,496",$96.37M
187,Monster,(2003),R,109 min,"Biography, Crime, Drama",7.3,74        ,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",['Patty Jenkins'],"['Charlize Theron', 'Christina Ricci', 'Bruce Dern', 'Lee Tergesen']","156,122",$34.47M
188,Lincoln,(2012),PG-13,150 min,"Biography, Drama, History",7.3,87        ,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",['Steven Spielberg'],"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn', 'Joseph Gordon-Levitt']","265,824",$182.21M
