,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
169,Billy Lynn's Long Halftime Walk,(2016),R,113 min,"Action, Drama, Sport",6.2,53        ,"19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks, the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.",['Ang Lee'],"['Joe Alwyn', 'Garrett Hedlund', 'Arturo Castro', 'Mason Lee']","23,411",$1.74M
170,Fever Pitch,(2005),PG-13,104 min,"Comedy, Drama, Romance",6.2,56        ,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.,"['Bobby Farrelly', 'Peter Farrelly']","['Drew Barrymore', 'Jimmy Fallon', 'Jason Spevack', 'Jack Kehler']","46,413",$42.07M
171,Two for the Money,(2005),R,122 min,"Crime, Drama, Sport",6.2,50        ,"After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",['D.J. Caruso'],"['Matthew McConaughey', 'Al Pacino', 'Rene Russo', 'Armand Assante']","47,246",$22.86M
172,Chalet Girl,(2011),R,97 min,"Comedy, Romance, Sport",6.2,42        ,"Former skateboard champion Kim wants to make more money after her mother's tragic death. She joins the elite posh servicing company, which sends her off to Austria.",['Phil Traill'],"['Felicity Jones', 'Ed Westwick', 'Bill Nighy', 'Brooke Shields']","26,126",$0.00M
173,Bring It On,(2000),PG-13,98 min,"Comedy, Romance, Sport",6.1,52        ,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,['Peyton Reed'],"['Kirsten Dunst', 'Eliza Dushku', 'Jesse Bradford', 'Gabrielle Union']","100,440",$68.38M
174,The Waterboy,(1998),PG-13,90 min,"Comedy, Sport",6.1,41        ,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,['Frank Coraci'],"['Adam Sandler', 'Kathy Bates', 'Henry Winkler', 'Fairuza Balk']","170,871",$161.49M
175,Rookie of the Year,(1993),PG,103 min,"Comedy, Family, Fantasy",6.1,53        ,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",['Daniel Stern'],"['Thomas Ian Nicholas', 'Gary Busey', 'Albert Hall', 'Amy Morton']","29,669",$53.58M
176,Days of Thunder,(1990),PG-13,107 min,"Action, Drama, Sport",6.1,60        ,A young hot-shot stock car driver gets his chance to compete at the top level.,['Tony Scott'],"['Tom Cruise', 'Nicole Kidman', 'Robert Duvall', 'Randy Quaid']","92,435",$82.67M
177,Speed Racer,(2008),PG,135 min,"Action, Adventure, Comedy",6.1,37        ,Young driver Speed Racer aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.,"['Lana Wachowski', 'Lilly Wachowski']","['Emile Hirsch', 'Matthew Fox', 'Christina Ricci', 'Nicholas Elia']","76,175",$43.95M
178,D2: The Mighty Ducks,(1994),PG,106 min,"Comedy, Drama, Family",6.1,-,Can Gordon's team win the Junior Goodwill Games in California in spite of all the set-backs?,['Sam Weisman'],"['Emilio Estevez', 'Kathryn Erbe', 'Michael Tucker', 'Jan Rubes']","41,704",$45.61M
179,The Karate Kid Part II,(1986),PG,113 min,"Action, Family, Sport",6.1,55        ,"Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.",['John G. Avildsen'],"['Pat Morita', 'Ralph Macchio', 'Pat E. Johnson', 'Bruce Malmuth']","94,235",$115.10M
180,Fired Up!,(2009),PG-13,90 min,"Comedy, Sport",6.1,31        ,The two most popular guys in high school decide to ditch football camp for cheerleader camp. For the girls and for the glory.,['Will Gluck'],"['Eric Christian Olsen', ""Nicholas D'Agosto"", 'Sarah Roemer', 'Molly Sims']","45,159",$17.23M
181,Undisputed,(2002),R,94 min,"Action, Crime, Drama",6.1,58        ,"When heavyweight champion George ""Iceman"" Chambers lands in prison, the resident gangster arranges a boxing match with the reigning prison champ.",['Walter Hill'],"['Wesley Snipes', 'Ving Rhames', 'Peter Falk', 'Michael Rooker']","33,434",$12.76M
182,Early Man,(2018),PG,89 min,"Animation, Adventure, Comedy",6.1,68        ,"Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City to save their home.",['Nick Park'],"['Eddie Redmayne', 'Tom Hiddleston', 'Maisie Williams', 'Timothy Spall']","22,925",$8.27M
183,Home Team,(2022),PG,95 min,"Comedy, Sport",6.0,23        ,New Orleans Saints head coach Sean Payton coaches his son's 6th-grade football team while he is being suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.,"['Charles Kinnane', 'Daniel Kinnane']","['Kevin James', 'Taylor Lautner', 'Rob Schneider', 'Jackie Sandler']","20,510",-
184,Ice Princess,(2005),G,98 min,"Comedy, Drama, Family",6.0,55        ,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.",['Tim Fywell'],"['Michelle Trachtenberg', 'Kim Cattrall', 'Trevor Blumas', 'Joan Cusack']","28,108",$24.38M
