,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
198,West Side Story,(1961),Approved,153 min,"Crime, Drama, Musical",7.6,86        ,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","['Jerome Robbins', 'Robert Wise']","['Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn']","117,525",$43.66M
199,A Star Is Born,(2018),R,136 min,"Drama, Music, Romance",7.6,88        ,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,['Bradley Cooper'],"['Lady Gaga', 'Bradley Cooper', 'Sam Elliott', 'Greg Grunberg']","398,057",$215.29M
200,Stardust,(2007),PG-13,127 min,"Adventure, Family, Fantasy",7.6,66        ,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",['Matthew Vaughn'],"['Charlie Cox', 'Claire Danes', 'Sienna Miller', 'Ian McKellen']","277,544",$38.63M
201,The Reader,(2008),R,124 min,"Drama, Romance",7.6,58        ,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",['Stephen Daldry'],"['Kate Winslet', 'Ralph Fiennes', 'Bruno Ganz', 'Jeanette Hain']","251,806",$34.19M
202,The Birds,(1963),PG-13,119 min,"Drama, Horror, Mystery",7.6,90        ,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,['Alfred Hitchcock'],"['Rod Taylor', 'Tippi Hedren', 'Jessica Tandy', 'Suzanne Pleshette']","196,232",$11.40M
203,Moulin Rouge!,(2001),PG-13,127 min,"Drama, Musical, Romance",7.6,66        ,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,['Baz Luhrmann'],"['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo', 'Jim Broadbent']","291,426",$57.39M
204,Rushmore,(1998),R,93 min,"Comedy, Drama, Romance",7.6,86        ,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",['Wes Anderson'],"['Jason Schwartzman', 'Bill Murray', 'Olivia Williams', 'Seymour Cassel']","190,834",$17.11M
205,Breakfast at Tiffany's,(1961),Approved,115 min,"Comedy, Drama, Romance",7.6,76        ,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",['Blake Edwards'],"['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen']","185,659",-
206,Fallen Angels,(1995),Not Rated,99 min,"Comedy, Crime, Drama",7.6,71        ,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",['Kar-Wai Wong'],"['Leon Lai', 'Michelle Reis', 'Takeshi Kaneshiro', 'Charlie Yeung']","44,660",-
207,Snow White and the Seven Dwarfs,(1937),Approved,83 min,"Animation, Adventure, Family",7.6,96        ,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","['William Cottrell', 'David Hand', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']","['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne', 'Roy Atwell']","206,217",$184.93M
