,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
181,Flashdance,(1983),R,95 min,"Drama, Music, Romance",6.2,39        ,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,['Adrian Lyne'],"['Jennifer Beals', 'Michael Nouri', 'Lilia Skala', 'Sunny Johnson']","56,747",$94.90M
182,A Night at the Roxbury,(1998),PG-13,82 min,"Comedy, Music, Romance",6.2,26        ,"Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury.",['John Fortenberry'],"['Chris Kattan', 'Will Ferrell', 'Raquel Gardner', 'Viveca Paulin']","62,510",$30.32M
183,Wayne's World 2,(1993),PG-13,95 min,"Comedy, Music",6.2,60        ,The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend.,['Stephen Surjik'],"['Mike Myers', 'Dana Carvey', 'Christopher Walken', 'Tia Carrere']","85,474",$48.20M
184,The Perfection,(2018),TV-MA,90 min,"Drama, Horror, Music",6.2,60        ,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",['Richard Shepard'],"['Marie Maskell', 'Allison Williams', 'Christina Jastrzembska', 'Glynis Davies']","46,699",-
185,Save the Last Dance,(2001),PG-13,112 min,"Drama, Music, Romance",6.2,53        ,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",['Thomas Carter'],"['Julia Stiles', 'Sean Patrick Thomas', 'Kerry Washington', 'Fredro Starr']","64,136",$91.06M
186,Shall We Dance,(2004),PG-13,106 min,"Comedy, Drama, Music",6.2,47        ,"A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.",['Peter Chelsom'],"['Richard Gere', 'Jennifer Lopez', 'Susan Sarandon', 'Stanley Tucci']","48,290",$57.89M
187,Step Up 2: The Streets,(2008),PG-13,98 min,"Drama, Music, Romance",6.2,50        ,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,['Jon M. Chu'],"['Robert Hoffman', 'Briana Evigan', 'Cassie Ventura', 'Adam Sevani']","89,260",$58.02M
188,The Rocker,(2008),PG-13,102 min,"Comedy, Music",6.2,53        ,"In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.",['Peter Cattaneo'],"['Rainn Wilson', 'Josh Gad', 'Christina Applegate', 'Teddy Geiger']","39,525",$6.41M
189,We Are Your Friends,(2015),R,96 min,"Drama, Music, Romance",6.2,46        ,"Caught between a forbidden romance and the expectations of his friends, aspiring DJ Cole Carter attempts to find the path in life that leads to fame and fortune.",['Max Joseph'],"['Zac Efron', 'Wes Bentley', 'Emily Ratajkowski', 'Jonny Weston']","39,641",$3.59M
190,Step Up 3D,(2010),PG-13,107 min,"Drama, Music, Romance",6.2,45        ,A tight-knit group of New York City street dancers find themselves pitted against the world's best hip hop dancers in a high-stakes showdown.,['Jon M. Chu'],"['Sharni Vinson', 'Rick Malambri', 'Adam Sevani', 'Alyson Stoner']","59,176",$42.40M
191,I'm Still Here,(I) (2010),R,108 min,"Comedy, Drama, Music",6.2,48        ,Documents Joaquin Phoenix's transition from the acting world to a career as an aspiring rapper.,['Casey Affleck'],"['Joaquin Phoenix', 'Antony Langdon', 'Carey Perloff', 'Larry McHale']","23,300",$0.41M
192,Marry Me,(2022),PG-13,112 min,"Comedy, Music, Romance",6.1,51        ,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd.",['Kat Coiro'],"['Jennifer Lopez', 'Owen Wilson', 'Maluma', 'John Bradley']","35,928",-
193,Airheads,(1994),PG-13,92 min,"Comedy, Crime, Music",6.1,46        ,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.,['Michael Lehmann'],"['Brendan Fraser', 'Steve Buscemi', 'Adam Sandler', 'Chris Farley']","54,007",$5.37M
