,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
137,Audition,(1999),R,115 min,"Drama, Horror, Mystery",7.1,70        ,"A widower takes an offer to screen girls at a special audition, arranged for him by a friend to find him a new wife. The one he fancies is not who she appears to be after all.",['Takashi Miike'],"['Ryo Ishibashi', 'Eihi Shiina', 'Tetsu Sawaki', 'Jun Kunimura']","84,871",-
138,Don't Look Now,(1973),R,110 min,"Drama, Horror, Mystery",7.1,95        ,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",['Nicolas Roeg'],"['Julie Christie', 'Donald Sutherland', 'Hilary Mason', 'Clelia Matania']","58,821",$0.98M
139,In the Mouth of Madness,(1994),R,95 min,"Drama, Fantasy, Horror",7.1,53        ,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,['John Carpenter'],"['Sam Neill', 'Jürgen Prochnow', 'Julie Carmen', 'David Warner']","74,087",$8.95M
140,The Host,(2006),R,120 min,"Drama, Horror, Sci-Fi",7.1,85        ,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,['Bong Joon Ho'],"['Song Kang-ho', 'Byun Hee-Bong', 'Park Hae-il', 'Bae Doona']","127,026",$2.20M
141,Let Me In,(I) (2010),R,116 min,"Drama, Fantasy, Horror",7.1,79        ,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,['Matt Reeves'],"['Kodi Smit-McPhee', 'Chloë Grace Moretz', 'Richard Jenkins', 'Cara Buono']","124,479",$12.13M
142,A Tale of Two Sisters,(2003),R,114 min,"Drama, Horror, Mystery",7.1,65        ,"After spending time in a mental hospital, a girl is reunited with her sister and returns home, only to see some truly strange events start to happen.",['Jee-woon Kim'],"['Lim Soo-jung', 'Yum Jung-ah', 'Kim Kap-su', 'Moon Geun-young']","65,057",-
143,Day of the Dead,(1985),Not Rated,101 min,"Horror, Thriller",7.1,60        ,"As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must determine how they should deal with the undead horde.",['George A. Romero'],"['Lori Cardille', 'Terry Alexander', 'Joseph Pilato', 'Jarlath Conroy']","71,567",$5.80M
144,Timecrimes,(2007),R,92 min,"Horror, Mystery, Sci-Fi",7.1,68        ,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,['Nacho Vigalondo'],"['Karra Elejalde', 'Candela Fernández', 'Bárbara Goenaga', 'Nacho Vigalondo']","66,103",$0.04M
145,Thirst,(2009),R,134 min,"Drama, Fantasy, Horror",7.1,73        ,"Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways.",['Park Chan-wook'],"['Song Kang-ho', 'Kim Ok-bin', 'Hee-jin Choi', 'Seo Dong-soo']","49,242",$0.30M
146,Black Christmas,(1974),R,98 min,"Horror, Mystery, Thriller",7.1,65        ,"During their Christmas break, a group of sorority girls are stalked by a stranger.",['Bob Clark'],"['Olivia Hussey', 'Keir Dullea', 'Margot Kidder', 'John Saxon']","44,391",$4.05M
147,The Fly,(1958),Not Rated,94 min,"Drama, Horror, Sci-Fi",7.1,62        ,A scientist has a horrific accident when he tries to use his newly invented teleportation device.,['Kurt Neumann'],"['David Hedison', 'Patricia Owens', 'Vincent Price', 'Herbert Marshall']","24,453",$3.00M
148,The Bird with the Crystal Plumage,(1970),GP,96 min,"Horror, Mystery, Thriller",7.1,-,An American expatriate in Rome attempts to unmask a serial killer he witnessed in the act of an attempted murder - and is now hunting him and his girlfriend.,['Dario Argento'],"['Tony Musante', 'Suzy Kendall', 'Enrico Maria Salerno', 'Eva Renzi']","22,660",$0.42M
149,The Fearless Vampire Killers,(1967),Not Rated,91 min,"Comedy, Horror",7.1,56        ,"A noted professor and his dim-witted apprentice fall prey to their inquiring vampires, while on the trail of the ominous damsel in distress.",['Roman Polanski'],"['Jack MacGowran', 'Roman Polanski', 'Alfie Bass', 'Jessie Robins']","32,760",-
150,Cemetery Man,(1994),R,105 min,"Comedy, Horror",7.1,-,A cemetery man must kill the dead a second time when they become zombies.,['Michele Soavi'],"['Rupert Everett', 'François Hadji-Lazaro', 'Anna Falchi', 'Mickey Knox']","22,200",$0.25M
151,Pearl,(2022),R,103 min,"Drama, Horror, Thriller",7.0,76        ,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",['Ti West'],"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland']","59,624",-
152,Barbarian,(2022),R,102 min,"Horror, Mystery, Thriller",7.0,78        ,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,['Zach Cregger'],"['Georgina Campbell', 'Bill Skarsgård', 'Justin Long', 'Matthew Patrick Davis']","149,325",-
153,Orphan,(2009),R,123 min,"Horror, Mystery, Thriller",7.0,42        ,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,['Jaume Collet-Serra'],"['Vera Farmiga', 'Peter Sarsgaard', 'Isabelle Fuhrman', 'CCH Pounder']","239,743",$41.60M
154,Last Night in Soho,(2021),R,116 min,"Drama, Horror, Mystery",7.0,65        ,"An aspiring fashion designer is mysteriously able to enter the 1960s, where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.",['Edgar Wright'],"['Thomasin McKenzie', 'Anya Taylor-Joy', 'Matt Smith', 'Diana Rigg']","151,023",-
155,Constantine,(2005),R,121 min,"Action, Fantasy, Horror",7.0,50        ,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",['Francis Lawrence'],"['Keanu Reeves', 'Rachel Weisz', 'Djimon Hounsou', 'Shia LaBeouf']","358,711",$75.98M
156,The Platform,(2019),TV-MA,94 min,"Horror, Sci-Fi, Thriller",7.0,73        ,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,['Galder Gaztelu-Urrutia'],"['Ivan Massagué', 'Zorion Eguileor', 'Antonia San Juan', 'Emilio Buale']","246,129",-
